time,time,water_level
18/08/2013 06:59,543600,0.68
18/08/2013 07:59,547200,0.37
18/08/2013 08:59,550800,-0.1
18/08/2013 09:59,554400,-0.65
18/08/2013 10:59,558000,-1.1
18/08/2013 11:59,561600,-1.41
18/08/2013 12:59,565200,-1.52
18/08/2013 13:59,568800,-1.38
18/08/2013 14:59,572400,-0.9
18/08/2013 15:59,576000,-0.17
18/08/2013 16:59,579600,0.58
18/08/2013 17:59,583200,1.17
18/08/2013 18:59,586800,1.5
18/08/2013 19:59,590400,1.52
18/08/2013 20:59,594000,1.24
18/08/2013 21:59,597600,0.71
18/08/2013 22:59,601200,0.12
18/08/2013 23:59,604800,-0.4
19/08/2013 00:59,608400,-0.78
19/08/2013 01:59,612000,-0.99
19/08/2013 02:59,615600,-0.85
19/08/2013 03:59,619200,-0.39
19/08/2013 04:59,622800,0.26
19/08/2013 05:59,626400,0.79
19/08/2013 06:59,630000,1.04
19/08/2013 07:59,633600,0.97
19/08/2013 08:59,637200,0.62
19/08/2013 09:59,640800,0.03
19/08/2013 10:59,644400,-0.64
19/08/2013 11:59,648000,-1.23
19/08/2013 12:59,651600,-1.61
19/08/2013 13:59,655200,-1.77
19/08/2013 14:59,658800,-1.64
19/08/2013 15:59,662400,-1.05
19/08/2013 16:59,666000,-0.16
19/08/2013 17:59,669600,0.77
19/08/2013 18:59,673200,1.46
19/08/2013 19:59,676800,1.78
19/08/2013 20:59,680400,1.76
19/08/2013 21:59,684000,1.34
19/08/2013 22:59,687600,0.66
19/08/2013 23:59,691200,-0.06
20/08/2013 00:59,694800,-0.65
20/08/2013 01:59,698400,-1.09
20/08/2013 02:59,702000,-1.29
20/08/2013 03:59,705600,-1.06
20/08/2013 04:59,709200,-0.41
20/08/2013 05:59,712800,0.43
20/08/2013 06:59,716400,1.06
20/08/2013 07:59,720000,1.33
20/08/2013 08:59,723600,1.24
20/08/2013 09:59,727200,0.77
20/08/2013 10:59,730800,0.06
20/08/2013 11:59,734400,-0.73
20/08/2013 12:59,738000,-1.35
