nohup: ignoring input
Exporting to ../../outputs/3d_b_v1.0
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 5151 nodes, 10000 triangles
3D mesh: 4 layers, 40000 prisms
Horizontal element size: 2.24 ... 2.24 m
Vertical element size: 10.000 ... 10.000 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 240000
Number of cores: 8
Tracer DOFs per core: ~30000.0
  - dt 2d swe: 0.004901703866484176
  - dt h. advection: 0.03726779962499632
  - dt v. advection: 249.99999999999898
  - dt viscosity: 0.04999999999999954
  - CFL adjusted dt: 2D: inf 3D: 0.03726779962499632
  - chosen dt: 2D: 0.03726779962499632 3D: 0.03726779962499632
  - adjusted dt: 2D: 0.037037037037037035 3D: 0.037037037037037035
dt = 0.037037
max h diff 1.1249999999999931 - 1.1250000000000029
   71  1917 T=     71.00 eta norm:   177.5883 u norm:    53.8662 16.07
   72  1944 T=     72.00 eta norm:   175.5252 u norm:    55.0668 16.28
   73  1971 T=     73.00 eta norm:   173.4421 u norm:    56.2651 15.51
   74  1998 T=     74.00 eta norm:   171.3430 u norm:    57.4564 16.81
   75  2025 T=     75.00 eta norm:   169.2335 u norm:    58.6447 22.59
   76  2052 T=     76.00 eta norm:   167.1296 u norm:    59.8302 23.15
   77  2079 T=     77.00 eta norm:   165.0389 u norm:    61.0119 23.30
   78  2106 T=     78.00 eta norm:   162.9671 u norm:    62.1910 22.41
   79  2133 T=     79.00 eta norm:   160.9166 u norm:    63.3664 21.72
   80  2160 T=     80.00 eta norm:   158.8877 u norm:    64.5354 21.95
   81  2187 T=     81.00 eta norm:   156.8808 u norm:    65.7030 24.23
   82  2214 T=     82.00 eta norm:   154.8960 u norm:    66.8650 24.17
   83  2241 T=     83.00 eta norm:   152.9330 u norm:    68.0239 23.39
   84  2268 T=     84.00 eta norm:   150.9923 u norm:    69.1770 23.18
   85  2295 T=     85.00 eta norm:   149.0738 u norm:    70.3258 22.56
   86  2322 T=     86.00 eta norm:   147.1778 u norm:    71.4816 22.85
   87  2349 T=     87.00 eta norm:   145.3041 u norm:    72.6329 23.34
   88  2376 T=     88.00 eta norm:   143.4522 u norm:    73.7825 22.13
   89  2403 T=     89.00 eta norm:   141.6225 u norm:    74.9302 22.81
   90  2430 T=     90.00 eta norm:   139.8149 u norm:    76.0689 24.47
   91  2457 T=     91.00 eta norm:   138.0294 u norm:    77.2110 25.04
   92  2484 T=     92.00 eta norm:   136.2659 u norm:    78.3463 23.21
   93  2511 T=     93.00 eta norm:   134.5242 u norm:    79.4857 22.52
   94  2538 T=     94.00 eta norm:   132.8041 u norm:    80.6219 23.95
   95  2565 T=     95.00 eta norm:   131.1055 u norm:    81.7453 23.33
   96  2592 T=     96.00 eta norm:   129.4280 u norm:    82.8698 23.39
   97  2619 T=     97.00 eta norm:   127.7714 u norm:    83.9969 23.59
   98  2646 T=     98.00 eta norm:   126.1348 u norm:    85.1192 23.68
   99  2673 T=     99.00 eta norm:   124.5184 u norm:    86.2419 24.12
  100  2700 T=    100.00 eta norm:   122.9185 u norm:    87.3602 24.28
  101  2727 T=    101.00 eta norm:   121.3291 u norm:    88.4754 23.06
  102  2754 T=    102.00 eta norm:   119.7510 u norm:    89.5844 23.95
  103  2781 T=    103.00 eta norm:   118.1847 u norm:    90.6943 24.01
  104  2808 T=    104.00 eta norm:   116.6318 u norm:    91.7986 24.11
  105  2835 T=    105.00 eta norm:   115.0933 u norm:    92.8936 23.78
  106  2862 T=    106.00 eta norm:   113.5694 u norm:    93.9903 23.84
  107  2889 T=    107.00 eta norm:   112.0603 u norm:    95.0849 23.85
  108  2916 T=    108.00 eta norm:   110.5661 u norm:    96.1752 23.51
  109  2943 T=    109.00 eta norm:   109.0868 u norm:    97.2649 25.32
  110  2970 T=    110.00 eta norm:   107.6226 u norm:    98.3478 23.77
  111  2997 T=    111.00 eta norm:   106.1733 u norm:    99.4317 23.94
  112  3024 T=    112.00 eta norm:   104.7392 u norm:   100.5107 24.33
  113  3051 T=    113.00 eta norm:   103.3204 u norm:   101.5873 24.46
  114  3078 T=    114.00 eta norm:   101.9169 u norm:   102.6645 24.20
  115  3105 T=    115.00 eta norm:   100.5288 u norm:   103.7447 23.66
  116  3132 T=    116.00 eta norm:    99.1560 u norm:   104.8190 24.13
