Exporting to ../../outputs/5.3D/dx150
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 1313 nodes, 2400 triangles
3D mesh: 6 layers, 14400 prisms
Horizontal element size: 1.00 ... 1.00 m
Vertical element size: 0.900 ... 0.900 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 86400
Number of cores: 8
Tracer DOFs per core: ~10800.0
  - dt 2d swe: 0.004638940161693393
  - dt h. advection: 0.014285714285714193
  - dt v. advection: 22.49999999999989
  - dt viscosity: 0.00999999999999987
  - CFL adjusted dt: 2D: inf 3D: 0.00999999999999987
  - chosen dt: 2D: 0.00999999999999987 3D: 0.00999999999999987
  - adjusted dt: 2D: 0.009995002498750625 3D: 0.009995002498750625
dt = 0.009995
max h diff 0.8337499999999952 - 0.8337500000000025
   70 140070 T=   1400.00 eta norm:     9.0853 u norm:    39.2739 459.84
   71 142071 T=   1420.00 eta norm:     8.0980 u norm:    37.5964 460.08
   72 144072 T=   1440.00 eta norm:     8.8245 u norm:    38.6563 459.39
   73 146073 T=   1460.00 eta norm:     8.0051 u norm:    39.3517 459.97
   74 148074 T=   1480.00 eta norm:     8.7368 u norm:    40.5590 459.25
   75 150075 T=   1500.00 eta norm:     8.4906 u norm:    42.3847 459.72
   76 152076 T=   1520.00 eta norm:     9.3862 u norm:    42.3146 459.79
   77 154077 T=   1540.00 eta norm:     8.2078 u norm:    41.1923 459.58
   78 156078 T=   1560.00 eta norm:     8.8687 u norm:    41.7460 460.51
   79 158079 T=   1580.00 eta norm:     8.4953 u norm:    43.3493 459.81
   80 160080 T=   1600.00 eta norm:     7.6943 u norm:    42.5080 459.60
   81 162081 T=   1620.00 eta norm:     9.3058 u norm:    40.1079 460.65
   82 164082 T=   1640.00 eta norm:     7.6502 u norm:    40.8319 459.82
   83 166083 T=   1660.00 eta norm:     8.5797 u norm:    39.5233 459.37
   84 168084 T=   1680.00 eta norm:     8.5264 u norm:    38.9721 460.84
   85 170085 T=   1700.00 eta norm:     8.7117 u norm:    39.3301 460.44
   86 172086 T=   1720.00 eta norm:     8.2139 u norm:    41.3254 459.43
   87 174087 T=   1740.00 eta norm:     8.2842 u norm:    41.9547 460.04
   88 176088 T=   1760.00 eta norm:     7.8514 u norm:    39.8880 459.57
   89 178089 T=   1780.00 eta norm:     8.7421 u norm:    39.8616 460.19
   90 180090 T=   1800.00 eta norm:     7.8062 u norm:    42.5425 460.67
   91 182091 T=   1820.00 eta norm:     7.7202 u norm:    41.7710 460.89
   92 184092 T=   1840.00 eta norm:     7.5048 u norm:    40.2024 460.32
   93 186093 T=   1860.00 eta norm:     9.0645 u norm:    39.7029 460.82
   94 188094 T=   1880.00 eta norm:     7.8391 u norm:    40.1465 459.93
   95 190095 T=   1900.00 eta norm:     8.5049 u norm:    43.0251 460.70
   96 192096 T=   1920.00 eta norm:     7.4284 u norm:    45.7089 460.97
   97 194097 T=   1940.00 eta norm:     8.5598 u norm:    44.1154 460.25
   98 196098 T=   1960.00 eta norm:     8.2143 u norm:    41.8895 461.44
   99 198099 T=   1980.00 eta norm:     8.5144 u norm:    41.7107 460.72
  100 200100 T=   2000.00 eta norm:     8.0154 u norm:    44.1032 460.66
  101 202101 T=   2020.00 eta norm:     8.7211 u norm:    42.6316 460.13
  102 204102 T=   2040.00 eta norm:     9.4581 u norm:    41.5254 460.10
  103 206103 T=   2060.00 eta norm:     8.1054 u norm:    42.1776 460.24
  104 208104 T=   2080.00 eta norm:     7.7186 u norm:    42.2190 459.74
  105 210105 T=   2100.00 eta norm:     8.1294 u norm:    44.2148 459.81
  106 212106 T=   2120.00 eta norm:     7.1038 u norm:    44.5051 459.39
  107 214107 T=   2140.00 eta norm:     7.5930 u norm:    43.8730 459.33
  108 216108 T=   2160.00 eta norm:     8.8398 u norm:    42.7168 460.32
  109 218109 T=   2180.00 eta norm:     8.3047 u norm:    43.2930 459.74
  110 220110 T=   2200.00 eta norm:     9.2439 u norm:    41.6350 460.02
  111 222111 T=   2220.00 eta norm:     9.8075 u norm:    39.7287 464.39
  112 224112 T=   2240.00 eta norm:     8.5643 u norm:    40.6076 503.92
  113 226113 T=   2260.00 eta norm:     8.1364 u norm:    41.0558 509.02
  114 228114 T=   2280.00 eta norm:     8.2024 u norm:    42.3320 476.24
  115 230115 T=   2300.00 eta norm:     8.3581 u norm:    43.7438 473.31
  116 232116 T=   2320.00 eta norm:     9.7737 u norm:    44.8264 474.53
  117 234117 T=   2340.00 eta norm:     8.2133 u norm:    43.1885 474.93
  118 236118 T=   2360.00 eta norm:     9.2879 u norm:    42.5712 475.28
  119 238119 T=   2380.00 eta norm:     9.2869 u norm:    41.2026 475.95
  120 240120 T=   2400.00 eta norm:     9.0616 u norm:    42.6332 484.09
  121 242121 T=   2420.00 eta norm:     7.6864 u norm:    43.4446 476.21
  122 244122 T=   2440.00 eta norm:     8.0137 u norm:    43.2569 497.27
  123 246123 T=   2460.00 eta norm:     7.6684 u norm:    43.2878 503.71
  124 248124 T=   2480.00 eta norm:     7.2346 u norm:    46.6764 482.25
  125 250125 T=   2500.00 eta norm:     7.6176 u norm:    48.1772 474.72
  126 252126 T=   2520.00 eta norm:     8.0543 u norm:    45.4818 500.38
  127 254127 T=   2540.00 eta norm:     8.4321 u norm:    44.0838 467.87
  128 256128 T=   2560.00 eta norm:     8.1172 u norm:    43.0400 467.60
  129 258129 T=   2580.00 eta norm:     7.6821 u norm:    44.0752 466.55
  130 260130 T=   2600.00 eta norm:     7.5618 u norm:    42.4639 467.68
  131 262131 T=   2620.00 eta norm:     9.1679 u norm:    39.6680 467.61
  132 264132 T=   2640.00 eta norm:     8.9715 u norm:    38.0860 466.64
  133 266133 T=   2660.00 eta norm:     8.0261 u norm:    38.6164 466.91
