nohup: ignoring input
Exporting to ../../outputs/3d_v1.0
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 5151 nodes, 10000 triangles
3D mesh: 4 layers, 40000 prisms
Horizontal element size: 1.73 ... 1.73 m
Vertical element size: 10.000 ... 10.000 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 240000
Number of cores: 8
Tracer DOFs per core: ~30000.0
  - dt 2d swe: 0.0037968434885867356
  - dt h. advection: 0.028867513459481086
  - dt v. advection: 249.9999999999984
  - dt viscosity: 0.029999999999999576
  - CFL adjusted dt: 2D: inf 3D: 0.028867513459481086
  - chosen dt: 2D: 0.028867513459481086 3D: 0.028867513459481086
  - adjusted dt: 2D: 0.02886002886002886 3D: 0.02886002886002886
dt = 0.028860
max h diff 0.8662499999999947 - 0.8662500000000026
    0     0 T=      0.00 eta norm:     0.0000 u norm:     0.0000  0.00
    1   693 T=     20.00 eta norm:    91.5173 u norm:     2.3535 902.69
    2  1386 T=     40.00 eta norm:    94.1786 u norm:     9.3819 920.01
    3  2079 T=     60.00 eta norm:    80.1856 u norm:    19.5296 929.45
   70 48510 T=   1400.00 eta norm:     4.3723 u norm:   110.5388 924.28
   71 49203 T=   1420.00 eta norm:     4.5473 u norm:   110.9171 922.13
   72 49896 T=   1440.00 eta norm:     4.7723 u norm:   111.1618 923.82
   73 50589 T=   1460.00 eta norm:     5.0548 u norm:   110.6082 923.79
   74 51282 T=   1480.00 eta norm:     5.3664 u norm:   110.6165 923.64
   75 51975 T=   1500.00 eta norm:     5.6976 u norm:   110.9357 924.56
   76 52668 T=   1520.00 eta norm:     6.0469 u norm:   111.3402 922.73
   77 53361 T=   1540.00 eta norm:     6.4199 u norm:   110.6913 925.20
   78 54054 T=   1560.00 eta norm:     6.8523 u norm:   110.9630 921.93
   79 54747 T=   1580.00 eta norm:     7.4062 u norm:   110.7061 926.27
   80 55440 T=   1600.00 eta norm:     8.1394 u norm:   110.4252 927.73
   81 56133 T=   1620.00 eta norm:     9.1193 u norm:   110.7549 928.83
   82 56826 T=   1640.00 eta norm:    10.3793 u norm:   110.6424 924.14
   83 57519 T=   1660.00 eta norm:    11.9423 u norm:   110.7917 920.10
   84 58212 T=   1680.00 eta norm:    13.7704 u norm:   110.4867 916.18
   85 58905 T=   1700.00 eta norm:    15.8316 u norm:   110.5543 918.44
   86 59598 T=   1720.00 eta norm:    18.0886 u norm:   111.1935 922.31
   87 60291 T=   1740.00 eta norm:    20.5527 u norm:   110.3762 914.08
   88 60984 T=   1760.00 eta norm:    23.2821 u norm:   110.0006 915.23
   89 61677 T=   1780.00 eta norm:    26.4373 u norm:   109.7965 917.97
   90 62370 T=   1800.00 eta norm:    30.2409 u norm:   110.2192 921.14
   91 63063 T=   1820.00 eta norm:    34.9660 u norm:   109.9130 913.01
   92 63756 T=   1840.00 eta norm:    40.8248 u norm:   109.4687 933.16
   93 64449 T=   1860.00 eta norm:    47.8462 u norm:   109.2014 932.69
   94 65142 T=   1880.00 eta norm:    55.7809 u norm:   108.7387 933.58
   95 65835 T=   1900.00 eta norm:    64.0803 u norm:   108.0088 931.71
   96 66528 T=   1920.00 eta norm:    72.0055 u norm:   106.7447 932.60
   97 67221 T=   1940.00 eta norm:    78.9345 u norm:   104.4892 933.85
   98 67914 T=   1960.00 eta norm:    84.6187 u norm:   102.9623 934.18
   99 68607 T=   1980.00 eta norm:    89.1383 u norm:   101.7299 933.83
  100 69300 T=   2000.00 eta norm:    92.6842 u norm:    99.2768 933.77
  101 69993 T=   2020.00 eta norm:    95.4656 u norm:    96.5403 931.36
  102 70686 T=   2040.00 eta norm:    97.8023 u norm:    94.2270 935.09
  103 71379 T=   2060.00 eta norm:   100.1089 u norm:    93.3410 928.42
  104 72072 T=   2080.00 eta norm:   102.8526 u norm:    92.9654 930.78
  105 72765 T=   2100.00 eta norm:   106.8134 u norm:    91.0255 934.59
  106 73458 T=   2120.00 eta norm:   111.3402 u norm:    87.5041 931.61
  107 74151 T=   2140.00 eta norm:   111.4045 u norm:    83.0417 933.32
  108 74844 T=   2160.00 eta norm:   111.3894 u norm:    78.2395 927.76
  109 75537 T=   2180.00 eta norm:   111.2281 u norm:    74.4636 925.67
  110 76230 T=   2200.00 eta norm:   109.2817 u norm:    71.8588 928.15
  111 76923 T=   2220.00 eta norm:   105.9059 u norm:    69.3585 934.40
  112 77616 T=   2240.00 eta norm:   102.3603 u norm:    67.0823 926.17
  113 78309 T=   2260.00 eta norm:    99.2238 u norm:    65.2697 931.93
  114 79002 T=   2280.00 eta norm:    95.9116 u norm:    64.3987 926.74
  115 79695 T=   2300.00 eta norm:    92.1165 u norm:    62.7075 921.20
  116 80388 T=   2320.00 eta norm:    88.3040 u norm:    60.7429 914.28
  117 81081 T=   2340.00 eta norm:    84.7386 u norm:    59.6666 923.75
  118 81774 T=   2360.00 eta norm:    81.3492 u norm:    59.5658 922.83
  119 82467 T=   2380.00 eta norm:    78.2182 u norm:    58.0432 917.15
  120 83160 T=   2400.00 eta norm:    75.2682 u norm:    56.2801 917.14
  121 83853 T=   2420.00 eta norm:    72.2710 u norm:    54.9775 920.56
  122 84546 T=   2440.00 eta norm:    69.2279 u norm:    54.1851 915.79
  123 85239 T=   2460.00 eta norm:    66.4234 u norm:    53.1647 915.29
  124 85932 T=   2480.00 eta norm:    64.1567 u norm:    52.4391 923.44
  125 86625 T=   2500.00 eta norm:    62.9168 u norm:    51.8225 915.69
  126 87318 T=   2520.00 eta norm:    63.8090 u norm:    51.8066 922.92
  127 88011 T=   2540.00 eta norm:    68.8779 u norm:    51.7767 916.07
  128 88704 T=   2560.00 eta norm:    78.8665 u norm:    51.4313 922.10
  129 89397 T=   2580.00 eta norm:    91.1945 u norm:    51.2555 923.77
  130 90090 T=   2600.00 eta norm:   102.8584 u norm:    50.8402 917.66
  131 90783 T=   2620.00 eta norm:   112.5004 u norm:    51.0244 918.24
  132 91476 T=   2640.00 eta norm:   120.4212 u norm:    50.2147 925.11
  133 92169 T=   2660.00 eta norm:   127.5040 u norm:    50.8125 922.33
  134 92862 T=   2680.00 eta norm:   133.9626 u norm:    50.5958 921.54
  135 93555 T=   2700.00 eta norm:   139.7663 u norm:    50.8602 920.29
  136 94248 T=   2720.00 eta norm:   145.1197 u norm:    50.9700 917.07
  137 94941 T=   2740.00 eta norm:   150.1341 u norm:    50.5797 925.77
  138 95634 T=   2760.00 eta norm:   154.7107 u norm:    50.4766 922.10
