5.0	-25587.373195466305	471.2876261845595	26058.660821650865
10.0	-24667.79182889312	835.2866556990957	25503.078484592217
15.0	-23749.589085470874	1109.1510664382367	24858.74015190911
20.0	-22942.727341416834	1371.1226310890888	24313.849972505923
25.0	-22532.267766333498	1645.4630034741822	24177.73076980768
30.0	-21736.829661664673	1868.26174969368	23605.091411358353
35.0	-21545.802379468503	2049.484156298713	23595.286535767216
40.0	-20870.121316312216	2261.437658120114	23131.55897443233
45.0	-20822.798795287737	2382.0295136816894	23204.828308969427
50.0	-20442.197897424514	2547.8007359486983	22989.998633373212
