behind 5.0	0.0	26264.206829248084	1108.2086394324142	26818.31114896429	[4823.442122948473]	

behind 5.0	0.0	26264.206829248084	1108.2086394324142	26818.31114896429	[4823.442122948473]	
5.0	25.0	2587.284775519036	1030.3686883645423	26242.09699860654	[3532.302592908276]	
5.0	50.0	823.6803561357613	1032.8590283833473	25550.003107437344	[2855.0851235936852]
5.0	75.0	-732.7058194805254	952.8329158695051	24128.68163387465	[2394.944032486296]

behind 25.0	0.0	4429.936430324533	809.3366315699416	26653.763284068762	[4720.246242237181]
25.0	25.0	2398.308300213494	766.9824610233802	26068.55836465859	[3437.9502034719926]
25.0	50.0	683.4979748649544	764.0467043881262	25461.98254700869	[2868.955407363421]
25.0	75.0	-813.3283240111537	735.1137973749763	23662.993722499807	[2392.904866462795]


behind 45.0	0.0	4146.839461960057	656.7712925027201	26011.874965187177	[4384.1184708388555]
45.0	25.0	2224.6083332000826	633.8757616332368	25580.25197628902	[3364.7864389751194]
45.0	50.0	584.8653335699764	626.4650992419758	24967.789443147954	[2813.851858116493]
45.0	75.0	-858.5849711839011	608.9457002982462	23271.927690054345	[2375.696793191582]






