nextto uv
5.0	0.0	    21290.64143444969	1108.2086394324142	26497.180160665226	[24670.002973246996, 19290.212199496153]
5.0	25.0	24029.39440274609	946.4817879013644	24801.382034082275	[12725.783461145933, 12241.63508085636]
5.0	50.0	10344.391886345496	942.7511696104921	24837.20115084174	[9675.28702471102, 10060.115031041902]
5.0	75.0	-4364.882571786286	837.703415451746	23986.282979398187	[9348.852626211272, 9504.193373696868]

25.0	0.0	    40807.2309676261	809.3366315699416	26620.049000809737	[23032.22642963783, 18589.25358421019]
25.0	25.0	22084.827658202594	804.8396545429932	25314.167386820794	[10302.078433377106, 10659.675849787629]
25.0	50.0	8313.212054440934	753.173014521625	24505.624283818626	[8851.219741397817, 9893.812919014035]
25.0	75.0	-4121.006605924785	597.6164873542439	22000.1950290179	[7470.016505038536, 8712.048149567338]

45.0	0.0	36154.10870000739	656.7712925027201	26078.727001640247	[23147.49647036202, 17546.734453935005]
45.0	25.0	20546.81850992787	674.0911896268234	25013.776090417403	[10390.71758482001, 10523.473725417145]
45.0	50.0	7552.241145589616	599.2214391924151	23547.53076450788	[8341.05979996767, 9155.859463957819]
45.0	75.0	-4112.945329226628	442.90867692129865	20006.386662819812	[6889.46157139658, 7982.6289032981595]
