
10.0                    3067.4175078050757  2322.0922585154067  26

### 直接对半分，结果不咋滴
5.0	-0.141901233407976	1157.9958857237423	1555.3384255954024	36


###  从上一次最优化的结果接着向下优化，走不出局部最优
10.0                    3067.4175078050757  2322.0922585154067  26
9.0	0.8612289924022585	3201.8622123271175	2306.524364194426	33
8.0	0.6553718554838152	3202.6139457886343	2306.5149303330472	9
6.0	0.24321426223484838	3202.656598393409	2306.5149147993775	1
5.0	0.03712977792735567	3202.656598392884	2306.5149147993775	1
4.0	-0.16895470638007426	3202.6565983925675	2306.5149147993775	1
3.0	-0.37503919068751523	3202.656598391931	2306.5149147993775	1
2.0	-0.5811236749948171	3202.656598392743	2306.5149147993775	1
1.0	-0.7872081593022084	3202.6565983924957	2306.5149147993775	1

### 从头开始优化，结果还可以
9.0	0.8164433094404178	3053.263539989932	2311.3097565406683	28


### 以上都是用的18台的数据，后面为服务器停电后，
### 改为用12台的数据，与环境影响部分保持一致性
10.0	1.0841031878595222	1901.516991505602	2125.9095464368233	136
9.0	0.9064306193816845	1959.6742961559712	2124.779298464454	27
8.0	0.6225718135010876	1799.4736801831016	2124.368974120269	60
7.0	0.5253899032252087	2051.878818249525	2097.474476848811	74
6.0	0.3047421063018593	2046.7703389577325	2119.383570249439	69
5.0	0.05292598161408668	1893.1515716800482	2087.1451637475893	115
4.0	-0.05969774105948422	2309.785934781857	2095.5628182738806	33
3.0	-0.33054508029008756	2134.9817408761146	2130.8520537453114	23
2.0	-0.5465564232744227	2192.4270036725043	2134.748907629992	15
1.0	-0.7476651880936078	2353.4891377516674	2100.747392318678	30

10.0	1.2035335981564859	2110.997931166476	2133.2251864474833	43
9.0	1.0480020079297627	2233.68974558705	2103.9711180860677	103
8.0	0.7818004383806175	2135.1381975391273	2058.634752153598	216
7.0	0.6018847778451245	2239.00287857704	2084.4965219283813	112
6.0	0.409883436536565	2332.175657006782	2079.1233622243362	177
5.0	0.12439085673650896	2143.648262880159	2086.8981383634855	91
4.0	-0.13619669453186523	1916.7117422702613	2048.6032030661722	131

3.0	-0.2769199786788663	2298.318636254924	2052.1723184390157	157
1.0	-0.8009758638049157	1647.216267581652	2131.8217267031173	10
