B5,A5,
0.161270016,0.193447948,15/08/2013 10:30
-0.025167678,0.017326796,15/08/2013 11:00
-0.195441832,-0.144619574,15/08/2013 11:30
-0.339287843,-0.285503957,15/08/2013 12:00
-0.448083607,-0.399082699,15/08/2013 12:30
-0.515171825,-0.47860679,15/08/2013 13:00
-0.53659584,-0.517440323,15/08/2013 13:30
-0.511651013,-0.51078471,15/08/2013 14:00
-0.443001173,-0.457038643,15/08/2013 14:30
-0.33651463,-0.358547578,15/08/2013 15:00
-0.200812391,-0.222376439,15/08/2013 15:30
-0.04620398,-0.063360629,15/08/2013 16:00
0.115114827,0.104160305,15/08/2013 16:30
0.272548467,0.269393766,15/08/2013 17:00
0.416685645,0.422664115,15/08/2013 17:30
0.53870727,0.555469719,15/08/2013 18:00
0.630390879,0.65974973,15/08/2013 18:30
0.68463555,0.727926679,15/08/2013 19:00
0.69625077,0.753800609,15/08/2013 19:30
0.662587354,0.733224381,15/08/2013 20:00
0.583828395,0.664476935,15/08/2013 20:30
0.462969022,0.548677131,15/08/2013 21:00
0.305528632,0.390988091,15/08/2013 21:30
0.118908949,0.204409292,15/08/2013 22:00
-0.088115292,0.002596312,15/08/2013 22:30
-0.303814352,-0.203858909,15/08/2013 23:00
-0.514446889,-0.405855704,15/08/2013 23:30
-0.707360686,-0.595759348,16/08/2013 00:00
-0.871559664,-0.766041364,16/08/2013 00:30
-0.997656349,-0.908441655,16/08/2013 01:00
-1.078228713,-1.014385009,16/08/2013 01:30
-1.108283976,-1.075730201,16/08/2013 02:00
-1.085634547,-1.085915323,16/08/2013 02:30
-1.011136511,-1.041257411,16/08/2013 03:00
-0.888760757,-0.941890684,16/08/2013 03:30
-0.725539794,-0.792065043,16/08/2013 04:00
-0.531018312,-0.602970603,16/08/2013 04:30
-0.317072981,-0.393104005,16/08/2013 05:00
-0.095222735,-0.174390755,16/08/2013 05:30
0.124398119,0.042405865,16/08/2013 06:00
0.332182585,0.248021783,16/08/2013 06:30
0.518948991,0.43470454,16/08/2013 07:00
0.676128988,0.595003259,16/08/2013 07:30
0.79633133,0.721845645,16/08/2013 08:00
0.874033656,0.809108053,16/08/2013 08:30
0.906054087,0.852298176,16/08/2013 09:00
0.89180735,0.849393004,16/08/2013 09:30
0.833351224,0.801196587,16/08/2013 10:00
0.735204297,0.711204149,16/08/2013 10:30
0.603816257,0.585375051,16/08/2013 11:00
0.447100914,0.432523358,16/08/2013 11:30
0.276146741,0.267467755,16/08/2013 12:00
0.103541934,0.105444578,16/08/2013 12:30
-0.059373504,-0.043838101,16/08/2013 13:00
-0.203003026,-0.174122229,16/08/2013 13:30
-0.319202804,-0.280444084,16/08/2013 14:00
-0.401239445,-0.358119626,16/08/2013 14:30
-0.444299301,-0.402255409,16/08/2013 15:00
-0.44614936,-0.408650427,16/08/2013 15:30
-0.407534813,-0.375161618,16/08/2013 16:00
-0.332209436,-0.302615272,16/08/2013 16:30
-0.226729685,-0.195204709,16/08/2013 17:00
-0.099571835,-0.060934486,16/08/2013 17:30
0.039168618,0.086426185,16/08/2013 18:00
0.17875613,0.23294957,16/08/2013 18:30
0.309875395,0.368651934,16/08/2013 19:00
0.4241077,0.485763054,16/08/2013 19:30
0.513632527,0.577339698,16/08/2013 20:00
0.571387388,0.636705785,16/08/2013 20:30
0.591616605,0.657976783,16/08/2013 21:00
0.570499589,0.636910192,16/08/2013 21:30
0.506636106,0.571421388,16/08/2013 22:00
0.401292485,0.461857974,16/08/2013 22:30
0.258311544,0.311538538,16/08/2013 23:00
0.083585654,0.130224349,16/08/2013 23:30
-0.115181671,-0.067771961,17/08/2013 00:00
-0.326675812,-0.270479931,17/08/2013 00:30
-0.537164367,-0.468327892,17/08/2013 01:00
-0.733683065,-0.653615561,17/08/2013 01:30
-0.904528173,-0.819380634,17/08/2013 02:00
-1.03911573,-0.958163727,17/08/2013 02:30
-1.128473012,-1.061799513,17/08/2013 03:00
-1.165944592,-1.121876939,17/08/2013 03:30
-1.14774024,-1.130940495,17/08/2013 04:00
-1.073327226,-1.083957748,17/08/2013 04:30
-0.945687726,-0.979418661,17/08/2013 05:00
-0.771390738,-0.819986677,17/08/2013 05:30
-0.560047027,-0.615379988,17/08/2013 06:00
-0.324286649,-0.386568826,17/08/2013 06:30
-0.077057958,-0.147729316,17/08/2013 07:00
0.170481701,0.089526996,17/08/2013 07:30
0.407783592,0.315557401,17/08/2013 08:00
0.624236787,0.521917984,17/08/2013 08:30
0.809287682,0.700303167,17/08/2013 09:00
0.953356656,0.842767549,17/08/2013 09:30
1.048854829,0.942261492,17/08/2013 10:00
1.090852145,0.993327092,17/08/2013 10:30
1.077482453,0.992912945,17/08/2013 11:00
1.010076682,0.940524938,17/08/2013 11:30
0.892992656,0.838601537,17/08/2013 12:00
0.732925118,0.692790284,17/08/2013 12:30
0.538889294,0.512860652,17/08/2013 13:00
0.325493136,0.318633684,17/08/2013 13:30
0.108351502,0.128888379,17/08/2013 14:00
-0.098743707,-0.046701452,17/08/2013 14:30
-0.283966773,-0.202421088,17/08/2013 15:00
-0.436574839,-0.333503686,17/08/2013 15:30
-0.547141252,-0.434190984,17/08/2013 16:00
-0.608673263,-0.497353148,17/08/2013 16:30
-0.617660622,-0.516206045,17/08/2013 17:00
-0.574573717,-0.486354773,17/08/2013 17:30
-0.483932038,-0.407224943,17/08/2013 18:00
-0.353966419,-0.282841403,17/08/2013 18:30
-0.195084213,-0.122396172,17/08/2013 19:00
-0.020053806,0.055205482,17/08/2013 19:30
0.157978374,0.229860055,17/08/2013 20:00
0.327038669,0.390555776,17/08/2013 20:30
0.476222717,0.529581505,17/08/2013 21:00
0.595205504,0.638890008,17/08/2013 21:30
0.67442375,0.710199392,17/08/2013 22:00
0.705942903,0.736192446,17/08/2013 22:30
0.684441645,0.711517837,17/08/2013 23:00
0.607912722,0.633273849,17/08/2013 23:30
0.477908555,0.501483259,18/08/2013 00:00
0.299147535,0.319743228,18/08/2013 00:30
0.078591895,0.101631014,18/08/2013 01:00
-0.170633979,-0.131666634,18/08/2013 01:30
-0.431228822,-0.365558865,18/08/2013 02:00
-0.68658163,-0.590703265,18/08/2013 02:30
-0.92125786,-0.800152982,18/08/2013 03:00
-1.120397837,-0.986413851,18/08/2013 03:30
-1.270280015,-1.140047128,18/08/2013 04:00
-1.359580987,-1.249816855,18/08/2013 04:30
-1.380410476,-1.304092327,18/08/2013 05:00
-1.329027808,-1.292849443,18/08/2013 05:30
-1.206412778,-1.209487811,18/08/2013 06:00
-1.018681241,-1.052315171,18/08/2013 06:30
-0.776562972,-0.826775763,18/08/2013 07:00
-0.494894071,-0.559255163,18/08/2013 07:30
-0.191665629,-0.273767688,18/08/2013 08:00
0.118516939,0.015318473,18/08/2013 08:30
0.422244108,0.296100463,18/08/2013 09:00
0.70547562,0.557311204,18/08/2013 09:30
0.953548488,0.788319659,18/08/2013 10:00
1.152626107,0.979500197,18/08/2013 10:30
1.291186747,1.12174318,18/08/2013 11:00
1.361046762,1.207110617,18/08/2013 11:30
1.358069771,1.228828222,18/08/2013 12:00
1.282499172,1.182535854,18/08/2013 12:30
1.138751867,1.068527557,18/08/2013 13:00
0.93434831,0.892064793,18/08/2013 13:30
0.680715224,0.665648158,18/08/2013 14:00
0.398549958,0.420203024,18/08/2013 14:30
0.108945581,0.179443922,18/08/2013 15:00
-0.170211736,-0.04770678,18/08/2013 15:30
-0.423124192,-0.255995534,18/08/2013 16:00
-0.634537683,-0.4396999,18/08/2013 16:30
-0.790753597,-0.58961828,18/08/2013 17:00
-0.881537563,-0.693647833,18/08/2013 17:30
-0.901289782,-0.740027792,18/08/2013 18:00
-0.849693512,-0.720523295,18/08/2013 18:30
-0.732231334,-0.632169727,18/08/2013 19:00
-0.559483775,-0.478247562,18/08/2013 19:30
-0.345041773,-0.270244913,18/08/2013 20:00
-0.10642302,-0.038871903,18/08/2013 20:30
0.138696289,0.190376529,18/08/2013 21:00
0.37484421,0.406174215,18/08/2013 21:30
0.587603795,0.598453485,18/08/2013 22:00
0.762673059,0.756268876,18/08/2013 22:30
0.886445563,0.868922839,18/08/2013 23:00
0.94755799,0.926671209,18/08/2013 23:30
0.938398385,0.921381574,19/08/2013 00:00
0.855948535,0.847659539,19/08/2013 00:30
0.701900842,0.703781251,19/08/2013 01:00
0.481797977,0.492349126,19/08/2013 01:30
0.204278723,0.229893743,19/08/2013 02:00
-0.110483673,-0.05112036,19/08/2013 02:30
-0.43958672,-0.332154322,19/08/2013 03:00
-0.762517451,-0.604587106,19/08/2013 03:30
-1.060014664,-0.86246643,19/08/2013 04:00
-1.312950978,-1.096986969,19/08/2013 04:30
-1.503549241,-1.295024058,19/08/2013 05:00
-1.617227743,-1.441068226,19/08/2013 05:30
-1.643885027,-1.51937485,19/08/2013 06:00
-1.578887843,-1.515707608,19/08/2013 06:30
-1.424075248,-1.419691967,19/08/2013 07:00
-1.188549045,-1.227218602,19/08/2013 07:30
-0.886496345,-0.947997031,19/08/2013 08:00
-0.539236072,-0.624854709,19/08/2013 08:30
-0.168435304,-0.283195831,19/08/2013 09:00
0.208500236,0.06123086,19/08/2013 09:30
0.5747521,0.393700881,19/08/2013 10:00
0.91196207,0.699741688,19/08/2013 10:30
1.201304162,0.9676927,19/08/2013 11:00
1.425637464,1.187362019,19/08/2013 11:30
1.571172153,1.348629874,19/08/2013 12:00
1.628700156,1.43963146,19/08/2013 12:30
1.594435769,1.449165489,19/08/2013 13:00
1.47017295,1.371157719,19/08/2013 13:30
1.262565404,1.206767642,19/08/2013 14:00
0.981300504,0.963935033,19/08/2013 14:30
0.647561151,0.674580228,19/08/2013 15:00
0.289508869,0.379264983,19/08/2013 15:30
-0.068692237,0.092651341,19/08/2013 16:00
-0.406789976,-0.180018914,19/08/2013 16:30
-0.70498969,-0.433329437,19/08/2013 17:00
-0.944172117,-0.656596317,19/08/2013 17:30
-1.108312798,-0.83446615,19/08/2013 18:00
-1.186340863,-0.950286066,19/08/2013 18:30
-1.173291678,-0.989173908,19/08/2013 19:00
-1.071367785,-0.940875681,19/08/2013 19:30
-0.890473256,-0.802189144,19/08/2013 20:00
-0.645091893,-0.57894609,19/08/2013 20:30
-0.355293504,-0.301550031,19/08/2013 21:00
-0.044428106,-0.012936493,19/08/2013 21:30
0.267632238,0.270585005,19/08/2013 22:00
0.562971635,0.536428786,19/08/2013 22:30
0.823423146,0.770426259,19/08/2013 23:00
1.030657546,0.959509256,19/08/2013 23:30
1.168158682,1.091833254,20/08/2013 00:00
1.223398678,1.155957495,20/08/2013 00:30
1.189185914,1.141781747,20/08/2013 01:00
1.064148542,1.041950075,20/08/2013 01:30
0.852386484,0.854034119,20/08/2013 02:00
0.561284816,0.583603961,20/08/2013 02:30
0.207512353,0.266002072,20/08/2013 03:00
-0.179488035,-0.061443016,20/08/2013 03:30
-0.573487992,-0.385197193,20/08/2013 04:00
-0.951511944,-0.699735465,20/08/2013 04:30
-1.2906732,-0.998644968,20/08/2013 05:00
-1.568369711,-1.268719624,20/08/2013 05:30
-1.764638286,-1.491912115,20/08/2013 06:00
-1.864033536,-1.648706235,20/08/2013 06:30
-1.856903009,-1.719409852,20/08/2013 07:00
-1.740777455,-1.686620676,20/08/2013 07:30
-1.521996476,-1.538615443,20/08/2013 08:00
-1.215041898,-1.273497847,20/08/2013 08:30
-0.840570287,-0.928432109,20/08/2013 09:00
-0.427035955,-0.550620469,20/08/2013 09:30
0.003856372,-0.159169438,20/08/2013 10:00
0.432744049,0.227959642,20/08/2013 10:30
0.838572802,0.592069481,20/08/2013 11:00
1.198874895,0.918988659,20/08/2013 11:30
1.492185964,1.1985024,20/08/2013 12:00
1.700221099,1.420379651,20/08/2013 12:30
1.809564352,1.569251517,20/08/2013 13:00
1.812887489,1.628540646,20/08/2013 13:30
1.709475151,1.5862844,20/08/2013 14:00
1.504808085,1.438729255,20/08/2013 14:30
1.208206124,1.191098762,20/08/2013 15:00
0.838907571,0.872267315,20/08/2013 15:30
0.430491584,0.536422407,20/08/2013 16:00
0.012565295,0.205222482,20/08/2013 16:30
-0.390961912,-0.116192648,20/08/2013 17:00
-0.757050725,-0.423174161,20/08/2013 17:30
-1.062531753,-0.703752251,20/08/2013 18:00
-1.286829509,-0.940472902,20/08/2013 18:30
-1.414458448,-1.113866416,20/08/2013 19:00
-1.436482104,-1.204148887,20/08/2013 19:30
-1.351887749,-1.194817988,20/08/2013 20:00
-1.169057332,-1.07652408,20/08/2013 20:30
-0.903252992,-0.849922281,20/08/2013 21:00
-0.575605126,-0.541290215,20/08/2013 21:30
-0.214153522,-0.20760131,20/08/2013 22:00
0.157457693,0.12943571,20/08/2013 22:30
0.518655858,0.454638971,20/08/2013 23:00
0.848441492,0.750636318,20/08/2013 23:30
1.124941204,1.00234803,21/08/2013 00:00
1.327703189,1.19714431,21/08/2013 00:30
1.440355722,1.322341749,21/08/2013 01:00
1.452189235,1.364393317,21/08/2013 01:30
1.35899814,1.310493767,21/08/2013 02:00
1.163207164,1.153391537,21/08/2013 02:30
0.872097307,0.894002435,21/08/2013 03:00
0.498352086,0.558010682,21/08/2013 03:30
0.074065414,0.198768313,21/08/2013 04:00
-0.36914079,-0.161607397,21/08/2013 04:30
-0.804832367,-0.516238879,21/08/2013 05:00
-1.207739836,-0.860304337,21/08/2013 05:30
-1.552150819,-1.182190166,21/08/2013 06:00
-1.814287271,-1.463248935,21/08/2013 06:30
-1.974740539,-1.681635824,21/08/2013 07:00
-2.019958835,-1.814086731,21/08/2013 07:30
-1.943801583,-1.838459641,21/08/2013 08:00
-1.749661669,-1.737357454,21/08/2013 08:30
-1.451322572,-1.502443684,21/08/2013 09:00
-1.0685344,-1.155028366,21/08/2013 09:30
-0.633006441,-0.759723731,21/08/2013 10:00
-0.170788103,-0.341500214,21/08/2013 10:30
0.296528836,0.079792698,21/08/2013 11:00
0.746302053,0.482084339,21/08/2013 11:30
1.15385627,0.848273204,21/08/2013 12:00
1.494850255,1.167807833,21/08/2013 12:30
1.74784713,1.431382601,21/08/2013 13:00
1.896353295,1.621848075,21/08/2013 13:30
1.930307069,1.719121764,21/08/2013 14:00
1.846866808,1.707491642,21/08/2013 14:30
1.650292124,1.57865784,21/08/2013 15:00
1.349794962,1.335259268,21/08/2013 15:30
0.962206133,1.001930779,21/08/2013 16:00
0.523714332,0.640951209,21/08/2013 16:30
0.06798797,0.28098202,21/08/2013 17:00
-0.378310873,-0.072329668,21/08/2013 17:30
-0.790156322,-0.415023499,21/08/2013 18:00
-1.141810064,-0.734782813,21/08/2013 18:30
-1.409618458,-1.013038409,21/08/2013 19:00
-1.574998492,-1.228764849,21/08/2013 19:30
-1.626053215,-1.359139753,21/08/2013 20:00
-1.559071059,-1.383317056,21/08/2013 20:30
-1.380534348,-1.28720722,21/08/2013 21:00
-1.105867719,-1.067082104,21/08/2013 21:30
-0.756188778,-0.743565258,21/08/2013 22:00
-0.362509626,-0.381824594,21/08/2013 22:30
0.048607144,-0.00909898,21/08/2013 23:00
0.454877164,0.357521396,21/08/2013 23:30
0.833649035,0.698115488,22/08/2013 00:00
1.16092858,0.995820491,22/08/2013 00:30
1.41380038,1.237734892,22/08/2013 01:00
1.573199589,1.411302329,22/08/2013 01:30
1.625763219,1.501013923,22/08/2013 02:00
1.564992273,1.490339035,22/08/2013 02:30
1.391708859,1.368023098,22/08/2013 03:00
1.112912134,1.132078108,22/08/2013 03:30
0.739247475,0.798082748,22/08/2013 04:00
0.300746522,0.424376153,22/08/2013 04:30
-0.16684494,0.044562802,22/08/2013 05:00
-0.63414973,-0.33219762,22/08/2013 05:30
-1.074696766,-0.70133099,22/08/2013 06:00
-1.461313538,-1.052779831,22/08/2013 06:30
-1.76803884,-1.368913996,22/08/2013 07:00
-1.973031839,-1.62765263,22/08/2013 07:30
-2.060245915,-1.804031485,22/08/2013 08:00
-2.02095569,-1.873288953,22/08/2013 08:30
-1.855991314,-1.814710612,22/08/2013 09:00
-1.577579013,-1.615980895,22/08/2013 09:30
-1.204663398,-1.285692833,22/08/2013 10:00
-0.768458282,-0.891364071,22/08/2013 10:30
-0.298790511,-0.467464557,22/08/2013 11:00
0.181161653,-0.034342744,22/08/2013 11:30
0.648283889,0.384518234,22/08/2013 12:00
1.077127462,0.769384084,22/08/2013 12:30
1.442008492,1.108331811,22/08/2013 13:00
1.719825199,1.392736727,22/08/2013 13:30
1.892290894,1.606086187,22/08/2013 14:00
1.947595266,1.726770457,22/08/2013 14:30
1.881361405,1.737043306,22/08/2013 15:00
1.696746601,1.62588134,22/08/2013 15:30
1.402729738,1.393558778,22/08/2013 16:00
1.013990136,1.060063703,22/08/2013 16:30
0.566356044,0.689589463,22/08/2013 17:00
0.095690043,0.316632148,22/08/2013 17:30
-0.369595412,-0.051796071,22/08/2013 18:00
