时间,,
17/08/2013 09:10,0.30 ,160 
17/08/2013 09:20,0.37 ,183 
17/08/2013 09:30,0.45 ,171 
17/08/2013 09:40,0.53 ,174 
17/08/2013 09:50,0.53 ,160 
17/08/2013 10:00,0.53 ,154 
17/08/2013 10:10,0.65 ,152 
17/08/2013 10:20,0.77 ,182 
17/08/2013 10:30,0.87 ,179 
17/08/2013 10:40,0.86 ,171 
17/08/2013 10:50,0.90 ,174 
17/08/2013 11:00,1.11 ,173 
19/08/2013 14:00,1.04 ,161 
19/08/2013 14:10,1.18 ,157 
19/08/2013 14:20,0.97 ,188 
19/08/2013 14:30,1.00 ,178 
19/08/2013 14:40,0.96 ,185 
19/08/2013 14:50,0.91 ,181 
19/08/2013 15:00,0.91 ,184 
19/08/2013 15:10,0.76 ,169 
19/08/2013 15:20,0.75 ,173 
19/08/2013 15:30,0.73 ,189 
19/08/2013 15:40,0.69 ,169 
19/08/2013 15:50,0.63 ,167 
19/08/2013 16:00,0.51 ,185 
19/08/2013 16:10,0.33 ,165 
19/08/2013 16:20,0.39 ,178 
19/08/2013 16:30,0.29 ,162 
19/08/2013 16:40,0.30 ,174 
19/08/2013 16:50,0.16 ,209 
19/08/2013 17:00,0.09 ,26 
19/08/2013 17:10,0.14 ,355 
19/08/2013 17:20,0.04 ,332 
19/08/2013 17:30,0.16 ,295 
19/08/2013 17:40,0.41 ,341 
19/08/2013 17:50,0.57 ,343 
19/08/2013 18:00,0.61 ,352 
19/08/2013 18:10,0.71 ,339 
19/08/2013 18:20,0.78 ,343 
19/08/2013 18:30,0.86 ,359 
19/08/2013 18:40,0.94 ,0 
19/08/2013 18:50,0.87 ,348 
19/08/2013 19:00,0.99 ,5 
19/08/2013 19:10,0.81 ,348 
19/08/2013 19:20,1.02 ,354 
19/08/2013 19:30,1.06 ,347 
19/08/2013 19:40,0.98 ,2 
19/08/2013 19:50,1.06 ,357 
19/08/2013 20:00,1.09 ,5 
19/08/2013 20:10,1.19 ,3 
19/08/2013 20:20,1.17 ,4 
19/08/2013 20:30,1.08 ,350 
19/08/2013 20:40,1.26 ,6 
19/08/2013 20:50,1.12 ,350 
19/08/2013 21:00,1.10 ,349 
19/08/2013 21:10,1.04 ,358 
19/08/2013 21:20,0.84 ,14 
19/08/2013 21:30,0.73 ,11 
19/08/2013 21:40,0.72 ,14 
19/08/2013 21:50,0.91 ,8 
19/08/2013 22:00,0.66 ,16 
19/08/2013 22:10,0.70 ,9 
19/08/2013 22:20,0.63 ,11 
19/08/2013 22:30,0.54 ,14 
19/08/2013 22:40,0.42 ,348 
19/08/2013 22:50,0.33 ,23 
19/08/2013 23:00,0.11 ,15 
19/08/2013 23:10,0.26 ,356 
19/08/2013 23:20,0.42 ,251 
19/08/2013 23:30,0.10 ,352 
19/08/2013 23:40,0.23 ,265 
19/08/2013 23:50,0.36 ,152 
20/08/2013 00:00,0.48 ,167 
20/08/2013 00:10,0.68 ,154 
20/08/2013 00:20,0.68 ,184 
20/08/2013 00:30,0.71 ,162 
20/08/2013 00:40,0.95 ,175 
20/08/2013 00:50,1.09 ,171 
20/08/2013 01:00,1.11 ,182 
20/08/2013 01:10,1.12 ,192 
20/08/2013 01:20,1.01 ,168 
20/08/2013 01:30,0.94 ,181 
20/08/2013 01:40,1.03 ,186 
20/08/2013 01:50,1.30 ,170 
20/08/2013 02:00,1.30 ,180 
20/08/2013 02:10,1.29 ,172 
20/08/2013 02:20,1.33 ,184 
20/08/2013 02:30,1.42 ,178 
20/08/2013 02:40,1.35 ,179 
20/08/2013 02:50,1.33 ,178 
20/08/2013 03:00,1.27 ,188 
20/08/2013 03:10,1.02 ,178 
20/08/2013 03:20,1.05 ,177 
20/08/2013 03:30,0.96 ,199 
20/08/2013 03:40,0.98 ,176 
20/08/2013 03:50,0.98 ,155 
20/08/2013 04:00,0.88 ,161 
20/08/2013 04:10,0.58 ,195 
20/08/2013 04:20,0.74 ,186 
20/08/2013 04:30,0.46 ,167 
20/08/2013 04:40,0.54 ,178 
20/08/2013 04:50,0.48 ,165 
20/08/2013 05:00,0.27 ,313 
20/08/2013 05:10,0.44 ,136 
20/08/2013 05:20,0.18 ,273 
20/08/2013 05:30,0.22 ,194 
20/08/2013 05:40,0.22 ,314 
20/08/2013 05:50,0.16 ,332 
20/08/2013 06:00,0.16 ,346 
20/08/2013 06:10,0.54 ,12 
20/08/2013 06:20,0.63 ,0 
20/08/2013 06:30,0.71 ,26 
20/08/2013 06:40,0.31 ,0 
20/08/2013 06:50,0.77 ,2 
20/08/2013 07:00,0.78 ,338 
20/08/2013 07:10,0.96 ,15 
20/08/2013 07:20,1.16 ,345 
