时间,实测流速,实测流向,模拟流速,模拟流向
16/08/2013 22:20,0.67,168,1.21,156.18
16/08/2013 22:30,0.74,161,1.18,155.17
16/08/2013 22:40,0.9,162,1.09,154.56
16/08/2013 22:50,0.71,160,0.95,154.17
16/08/2013 23:00,1,163,0.76,153.7
16/08/2013 23:10,0.71,165,0.54,152.55
16/08/2013 23:20,0.69,165,0.28,148.45
16/08/2013 23:30,0.72,160,0.07,230
16/08/2013 23:40,0.8,163,0.34,347.28
16/08/2013 23:50,0.77,168,0.61,343.78
17/08/2013 00:00,0.65,163,0.84,344.06
17/08/2013 00:10,0.59,163,1.01,344.32
17/08/2013 00:20,0.46,150,1.11,344.2
17/08/2013 00:30,0.43,171,1.13,343.97
17/08/2013 00:40,0.48,176,1.09,343.78
17/08/2013 00:50,0.39,163,0.99,343.65
17/08/2013 01:00,0.38,168,0.83,343.62
17/08/2013 01:10,0.23,161,0.64,343.88
17/08/2013 01:20,0.35,181,0.4,345.68
17/08/2013 01:30,0.2,163,0.1,350
17/08/2013 01:40,0.25,204,0.29,158.16
17/08/2013 01:50,0.05,59,0.71,159.64
17/08/2013 02:00,0.1,22,1.03,159.18
17/08/2013 02:10,0.25,316,1.21,158.03
17/08/2013 02:20,0.17,331,1.28,156.73
17/08/2013 02:30,0.38,301,1.27,155.86
17/08/2013 02:40,0.27,287,1.19,155.5
17/08/2013 02:50,0.38,335,1.07,155.47
17/08/2013 03:00,0.37,347,1.29,343.54
17/08/2013 03:10,0.55,334,1.21,343.4
17/08/2013 03:20,0.54,334,1.08,343.32
17/08/2013 03:30,0.46,331,0.89,343.36
17/08/2013 03:40,0.69,322,0.66,343.78
17/08/2013 03:50,0.81,328,0.38,346.74
17/08/2013 04:00,0.8,333,0.04,258.75
17/08/2013 04:10,0.76,337,0.43,208.75
17/08/2013 04:20,0.57,350,0.89,158.83
17/08/2013 04:30,0.65,333,1.18,157.87
17/08/2013 04:40,0.79,340,1.33,156.3
17/08/2013 04:50,0.79,339,1.36,155
17/08/2013 05:00,0.81,324,1.31,154.37
17/08/2013 05:10,0.78,332,1.2,154.27
17/08/2013 05:20,0.61,328,1.05,154.41
17/08/2013 05:30,0.72,332,0.85,154.52
17/08/2013 05:40,0.72,337,0.61,154.11
17/08/2013 05:50,0.69,328,0.34,151.77
17/08/2013 06:00,0.62,325,0.06,194.67
17/08/2013 06:10,0.71,333,0.37,346.6
17/08/2013 06:20,0.59,333,0.7,343.14
17/08/2013 06:30,0.57,330,0.99,343.43
17/08/2013 06:40,0.62,334,1.2,343.7
17/08/2013 06:50,0.57,325,1.31,343.66
17/08/2013 07:00,0.55,338,1.34,343.5
17/08/2013 07:10,0.53,324,1.29,343.34
17/08/2013 07:20,0.38,326,1.19,343.24
17/08/2013 07:30,0.34,319,1.03,343.23
17/08/2013 07:40,0.22,340,0.82,343.38
17/08/2013 07:50,0.31,316,0.57,344.23
17/08/2013 08:00,0.17,7,0.26,350.16
17/08/2013 08:10,0.18,325,0.13,200.04
17/08/2013 08:20,0.14,332,0.59,159.07
17/08/2013 08:30,0.11,270,1.01,158.34
17/08/2013 08:40,0.25,224,1.25,157
17/08/2013 08:50,0.26,216,1.35,155.38
17/08/2013 09:00,0.18,177,1.35,154.25
17/08/2013 09:10,0.21,219,1.28,153.75
17/08/2013 09:20,0.54,151,1.16,153.66
17/08/2013 09:30,0.58,151,0.99,153.72
17/08/2013 09:40,0.49,149,0.78,153.58
17/08/2013 09:50,0.6,155,0.53,152.55
17/08/2013 10:00,0.57,162,0.24,147.08
17/08/2013 10:10,0.7,166,0.13,352
17/08/2013 10:20,0.74,154,0.45,344.76
17/08/2013 10:30,0.7,158,0.74,343.1
17/08/2013 10:40,0.8,165,0.99,343.63
17/08/2013 10:50,0.87,161,1.16,343.85
17/08/2013 11:00,0.88,158,1.25,343.76
19/08/2013 14:00,1.27,156,1.25,343.58
19/08/2013 14:10,1.3,167,1.19,343.44
19/08/2013 14:20,1.33,162,,
19/08/2013 14:30,1.32,165,,
19/08/2013 14:40,1.17,166,,
19/08/2013 14:50,1.06,158,,
19/08/2013 15:00,1.05,167,,
19/08/2013 15:10,1.03,163,,
19/08/2013 15:20,0.88,170,,
19/08/2013 15:30,0.7,175,,
19/08/2013 15:40,0.69,152,,
19/08/2013 15:50,0.6,161,,
19/08/2013 16:00,0.41,179,,
19/08/2013 16:10,0.42,167,,
19/08/2013 16:20,0.29,168,,
19/08/2013 16:30,0.19,170,,
19/08/2013 16:40,0.09,222,,
19/08/2013 16:50,0.06,195,,
19/08/2013 17:00,0.22,288,,
19/08/2013 17:10,0.19,328,,
19/08/2013 17:20,0.23,326,,
19/08/2013 17:30,0.49,356,,
19/08/2013 17:40,0.66,359,,
19/08/2013 17:50,0.72,345,,
19/08/2013 18:00,0.91,348,,
19/08/2013 18:10,1.06,346,,
19/08/2013 18:20,1.15,342,,
19/08/2013 18:30,1.11,347,,
19/08/2013 18:40,1.01,343,,
19/08/2013 18:50,1.02,338,,
19/08/2013 19:00,1.06,341,,
19/08/2013 19:10,1.03,343,,
19/08/2013 19:20,0.98,351,,
19/08/2013 19:30,1.19,340,,
19/08/2013 19:40,1.25,331,,
19/08/2013 19:50,1.38,345,,
19/08/2013 20:00,1.05,348,,
19/08/2013 20:10,1.25,349,,
19/08/2013 20:20,1.15,337,,
19/08/2013 20:30,1.19,331,,
19/08/2013 20:40,1.21,343,,
19/08/2013 20:50,1.07,347,,
19/08/2013 21:00,1.06,340,,
19/08/2013 21:10,0.98,339,,
19/08/2013 21:20,0.98,325,,
19/08/2013 21:30,0.85,347,,
19/08/2013 21:40,0.72,326,,
19/08/2013 21:50,0.91,335,,
19/08/2013 22:00,0.74,327,,
19/08/2013 22:10,0.6,315,,
19/08/2013 22:20,0.43,317,,
19/08/2013 22:30,0.32,312,,
19/08/2013 22:40,0.13,20,,
19/08/2013 22:50,0.25,299,,
19/08/2013 23:00,0.2,286,,
19/08/2013 23:10,0.14,235,,
19/08/2013 23:20,0.29,211,,
19/08/2013 23:30,0.21,184,,
19/08/2013 23:40,0.42,147,,
19/08/2013 23:50,0.53,161,,
20/08/2013 00:00,0.67,165,,
20/08/2013 00:10,0.85,157,,
20/08/2013 00:20,1,168,,
20/08/2013 00:30,1.03,171,,
20/08/2013 00:40,1.24,163,,
20/08/2013 00:50,1.21,162,,
20/08/2013 01:00,1.24,167,,
20/08/2013 01:10,1.22,160,,
20/08/2013 01:20,1.24,156,,
20/08/2013 01:30,1.4,164,,
20/08/2013 01:40,0.95,180,,
20/08/2013 01:50,1.46,152,,
20/08/2013 02:00,1.01,166,,
20/08/2013 02:10,1.28,159,,
20/08/2013 02:20,1.08,158,,
20/08/2013 02:30,1.34,163,,
20/08/2013 02:40,1.36,164,,
20/08/2013 02:50,1.34,164,,
20/08/2013 03:00,1.16,168,,
20/08/2013 03:10,1.24,160,,
20/08/2013 03:20,1.12,164,,
20/08/2013 03:30,0.99,167,,
20/08/2013 03:40,0.85,197,,
20/08/2013 03:50,0.81,152,,
20/08/2013 04:00,0.73,165,,
20/08/2013 04:10,0.66,169,,
20/08/2013 04:20,0.65,176,,
20/08/2013 04:30,0.53,172,,
20/08/2013 04:40,0.39,183,,
20/08/2013 04:50,0.23,181,,
20/08/2013 05:00,0.08,161,,
20/08/2013 05:10,0.12,222,,
20/08/2013 05:20,0.12,307,,
20/08/2013 05:30,0.3,340,,
20/08/2013 05:40,0.41,340,,
20/08/2013 05:50,0.61,346,,
20/08/2013 06:00,0.91,339,,
20/08/2013 06:10,0.98,325,,
20/08/2013 06:20,0.9,301,,
20/08/2013 06:30,0.99,342,,
20/08/2013 06:40,1.11,352,,
20/08/2013 06:50,1.07,344,,
20/08/2013 07:00,1.11,333,,
20/08/2013 07:10,1.23,339,,
20/08/2013 07:20,1.23,333,,
20/08/2013 07:30,1.17,335,,
20/08/2013 07:40,1.31,336,,
20/08/2013 07:50,1.04,328,,
20/08/2013 08:00,1.23,340,,
20/08/2013 08:10,1.32,347,,
20/08/2013 08:20,1.25,342,,
20/08/2013 08:30,1.2,333,,
20/08/2013 08:40,1.37,344,,
20/08/2013 08:50,1.2,339,,
20/08/2013 09:00,1.35,342,,
20/08/2013 09:10,1.18,332,,
20/08/2013 09:20,1.14,337,,
20/08/2013 09:30,1.08,336,,
20/08/2013 09:40,0.94,337,,
20/08/2013 09:50,0.79,328,,
20/08/2013 10:00,0.81,336,,
20/08/2013 10:10,0.62,334,,
20/08/2013 10:20,0.72,339,,
20/08/2013 10:30,0.55,325,,
20/08/2013 10:40,0.43,337,,
20/08/2013 10:50,0.29,1,,
20/08/2013 11:00,0.26,312,,
20/08/2013 11:10,0.18,194,,
20/08/2013 11:20,0.23,238,,
20/08/2013 11:30,0.17,195,,
20/08/2013 11:40,0.22,202,,
20/08/2013 11:50,0.34,160,,
20/08/2013 12:00,0.41,145,,
20/08/2013 12:10,0.65,154,,
20/08/2013 12:20,0.83,162,,
20/08/2013 12:30,0.83,162,,
20/08/2013 12:40,1.02,154,,
20/08/2013 12:50,1.06,159,,
20/08/2013 13:00,1.13,163,,
20/08/2013 13:10,1.09,163,,
20/08/2013 13:20,1.12,162,,
20/08/2013 13:30,1.29,163,,
20/08/2013 13:40,1.12,178,,
20/08/2013 13:50,0.99,162,,
20/08/2013 14:00,1.17,160,,
20/08/2013 14:10,1.25,165,,
