5.0	-25914.19557980637	554.1043197162071	26468.299899522575
10.0	-25405.254214774908	971.4192272011205	26376.67344197603
15.0	-25462.91034596889	1357.3151689617407	26820.22551493063
20.0	-25024.57377340535	1731.7922526721522	26756.366026077503
25.0	-24589.27327777583	2023.3415789248538	26612.614856700682
30.0	-24191.74245743835	2347.8656260199896	26539.60808345834
35.0	-23824.708215671344	2543.638284870747	26368.34650054209
40.0	-23466.28622823638	2887.223434913045	26353.509663149423
45.0	-23099.452514308025	2955.470816262241	26054.923330570266
50.0	-22777.905151295832	3180.02817910293	25957.933330398762
